"Number","Word","Transliteration","Grammar","Russian","Example"
214,离,lí,пред.,от (о расстоянии),我家~学校很近。
215,两,liǎng,числ.,два,苹果~块钱一斤。
216,路,lù,сущ.,дорога,我每天走~去上学。
"",,сч. сл,номер маршрута (автобуса),我们可以坐 10~公共汽车去。,
217,旅游,lǚyóu,гл.,путешествовать,我们开车去~。
218,卖,mài,гл.,продавать,这个商店~的东西比较便宜。
219,慢,màn,прил.,медленный,我们走得很~。
220,忙,máng,прил.,занятый,"这个星期,我很~。"
"",,гл.,быть занятым чем-либо,你在~什么呢?,
221,猫,māo,сущ.,кошка,你的小~去哪儿了?
222,每,měi,пред.,каждый,你~天都看报纸吗?
223,妹妹,mèimei,сущ.,младшая сестра,我有两个~。
224,门,mén,сущ.,"двери, ворота",我在~外等你。
"",,сч. сл,употребляется при счете дисциплин,今年我有五~课。,
225,男,nán,сущ.,мужчина,我不认识那个~人。
226,您,nín,пред.,Вы,"老师,~好!"
227,牛奶,niúnǎi,сущ.,молоко,睡觉前喝杯~吧。
228,女,nǚ,сущ.,женщина,那个~人你认识吗?
229,旁边,pángbiān,сущ.,рядом,爸爸在我~。
230,跑步,pǎobù,гл.,бежать,我每天早上都~。
231,便宜,piányi,прил.,дешевый,"苹果很~,我们买点儿吧。"
232,票,piào,сущ.,билет,我要去火车站买车~。
233,妻子,qīzi,сущ.,жена,我~上班去了。
234,起床,qǐchuáng,гл.,вставать (после сна),我早上七点~。
235,千,qiān,числ.,тысяча,这个手机一~元。
236,铅笔,qiānbǐ,сущ.,карандаш,你看见我的~了吗?
237,晴,qíng,прил.,безоблачное,今天是~天。
238,去年,qùnián,сущ.,в прошлом году,我是~8 月来北京的。
239,让,ràng,гл.,разрешать,他爸爸不~他来。
"",,гл.,уступать,他把座位~给了一位老人。,
240,日,rì,сущ.,день,今天是 2012 年 2 月 26~。
241,上班,shàngbān,гл.,идти на работу,我七点半去~。
242,身体,shēntǐ,сущ.,тело,今天我的~不太舒服。
243,生病,shēngbìng,гл.,болеть,"我~了,不能去上班了。"
244,生日,shēngrì,сущ.,день рождения,祝你~快乐!
245,时间,shíjiān,сущ.,время,我没~去北京。
246,事情,shìqing,сущ.,дело,你下午有什么~吗?
247,手表,shǒubiǎo,сущ.,наручные часы,这块~非常漂亮。
248,手机,shǒujī,сущ.,мобильный телефон,"你看,我新买了一个~。"
249,送,sòng,гл.,"давать, дарить",我~你一本书。
гл.,"провожать, может удваиваться",我去~一个朋友。,,,
250,"虽然......
但是......",suīrán...dànshì...,союз,"хотя..., но","~下雨了,~我们还是想去看电影。"
251,它,tā,мест.,"он, она, оно (о неодушевленном предмете)","我知道小猫在哪儿,~在桌子下面。"
252,踢足球,tī zúqiú,,играть в футбол,我和同学们在~。
